matchId,tier,rank
NA1_5334973528,PLATINUM,I
NA1_5334951552,PLATINUM,I
NA1_5334934144,PLATINUM,I
NA1_5334900306,PLATINUM,I
NA1_5334884878,PLATINUM,I
NA1_5334850937,PLATINUM,I
NA1_5333946460,PLATINUM,I
NA1_5333938704,PLATINUM,I
NA1_5332608493,PLATINUM,I
NA1_5332594321,PLATINUM,I
NA1_5332569540,PLATINUM,I
NA1_5332546210,PLATINUM,I
NA1_5332520756,PLATINUM,I
NA1_5332487118,PLATINUM,I
NA1_5332439838,PLATINUM,I
NA1_5332396491,PLATINUM,I
NA1_5327866102,PLATINUM,I
NA1_5327847433,PLATINUM,I
NA1_5327829744,PLATINUM,I
NA1_5327079563,PLATINUM,I
NA1_5327069408,PLATINUM,I
NA1_5327057341,PLATINUM,I
NA1_5333864484,PLATINUM,I
NA1_5333853042,PLATINUM,I
NA1_5333781421,PLATINUM,I
NA1_5333743248,PLATINUM,I
NA1_5326114616,PLATINUM,I
NA1_5347087399,PLATINUM,I
NA1_5346010244,PLATINUM,I
NA1_5334439392,PLATINUM,IV
NA1_5334424094,PLATINUM,I
NA1_5334247993,PLATINUM,I
NA1_5333870958,PLATINUM,I
NA1_5331730471,PLATINUM,I
NA1_5331482008,PLATINUM,I
NA1_5331236135,PLATINUM,I
NA1_5330856485,PLATINUM,I
NA1_5330245092,PLATINUM,I
NA1_5328879349,PLATINUM,I
NA1_5327090380,PLATINUM,I
NA1_5326359177,PLATINUM,I
NA1_5326144784,PLATINUM,I
NA1_5346753579,PLATINUM,I
NA1_5346736174,PLATINUM,I
NA1_5344617208,PLATINUM,I
NA1_5344485990,PLATINUM,I
NA1_5344441540,PLATINUM,I
NA1_5344430380,PLATINUM,I
NA1_5344394261,PLATINUM,I
NA1_5343793742,PLATINUM,I
NA1_5343775818,PLATINUM,I
NA1_5343011228,PLATINUM,I
NA1_5342958896,PLATINUM,I
NA1_5342934128,PLATINUM,I
NA1_5347782353,PLATINUM,I
NA1_5347669524,PLATINUM,I
NA1_5347389847,PLATINUM,I
NA1_5336537442,PLATINUM,I
NA1_5334936915,PLATINUM,I
NA1_5334842405,PLATINUM,I
NA1_5334264846,PLATINUM,I
NA1_5334040491,PLATINUM,I
NA1_5334017138,PLATINUM,I
NA1_5333128696,PLATINUM,I
NA1_5333079992,PLATINUM,I
NA1_5332202808,PLATINUM,I
NA1_5332094435,PLATINUM,I
NA1_5331605403,PLATINUM,I
NA1_5331566839,PLATINUM,I
NA1_5331553451,PLATINUM,I
NA1_5330778616,PLATINUM,I
NA1_5330159810,PLATINUM,I
NA1_5329895968,PLATINUM,I
NA1_5329844609,PLATINUM,I
NA1_5329774718,PLATINUM,I
NA1_5329748851,PLATINUM,I
NA1_5328951385,PLATINUM,I
NA1_5328797612,PLATINUM,I
NA1_5328545335,PLATINUM,I
NA1_5328300260,EMERALD,IV
NA1_5327832996,PLATINUM,I
NA1_5327691833,PLATINUM,I
NA1_5327675477,PLATINUM,I
NA1_5327562613,PLATINUM,I
NA1_5327452551,PLATINUM,I
NA1_5327219732,PLATINUM,I
NA1_5327208793,PLATINUM,I
NA1_5326306541,PLATINUM,I
NA1_5350496296,PLATINUM,I
NA1_5350490892,PLATINUM,III
NA1_5349833704,PLATINUM,I
NA1_5349001637,PLATINUM,I
NA1_5348992019,PLATINUM,I
NA1_5348164418,PLATINUM,I
NA1_5348138873,PLATINUM,I
NA1_5346798058,PLATINUM,I
NA1_5345413693,PLATINUM,I
NA1_5343777196,PLATINUM,I
NA1_5342293573,PLATINUM,I
NA1_5342231959,PLATINUM,I
NA1_5342214759,PLATINUM,I
