tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood
PLATINUM,I,lZqJc2Occpy_YIc-LuFvZbCXJ1SkcFbRLNQwDVNyKl2AYMcQ6FWDQgbsUqnkkm1ENA19D_aDMFVEdw,48,194,179,False,False,True
PLATINUM,I,SIeNfwNw9R605NxUX-CWIjBWAvmDAYSyVWL1aE2n80497AKPi6V7f036jwguzvI8rLcyKZe6qh7OpA,22,23,25,False,False,False
PLATINUM,I,ElB9FGgEQczaLPM5UtvuP9MrcmGisOOU_BJggf374pDO4RE-SxOikZ4hkOmeh9VHfe7awtBhrCocCQ,83,30,26,False,False,False
PLATINUM,I,8-GzueaE-DRujgMXRDjqZLEVBo12lX1m42e9M-Q0fWraRN0Z_zHONPA0qu0n5-4y37AbbTiG3ijy1g,8,108,96,False,False,False
PLATINUM,I,XphA7rz4B3XTMhJ8iNX7cUoWTOVnk4i-G_bLevzPQHayaohJnktrouy-Gu1BreYKcYSPo_0D9VEBFQ,40,2,3,False,False,False
PLATINUM,I,BDHQ-pHNc6RGvlB7hUGEjpLCVMpv3g-wfKTigTwiENLAg9sUcd-zqfZldViBXNlxzThg1Hc2wGEGQA,35,79,66,False,False,False
PLATINUM,I,P2Wc8xAeDE095GoQNr9EHV7lG2coCV18XbPXtnizW3CT_g8c2TisZ4XgHSdyc-vOM__9g3WwARdDmg,18,34,28,False,False,False
PLATINUM,I,c7lP3QL5UkawMafToUAQvFL8Z4FN1EQI8XjUM91osifiyRGcS66aMZA0Ux9LSOasJkfJ1Yj4CbEhgw,97,103,78,False,False,False
PLATINUM,I,DRmyMGnSsgwhWVHXa6V5rgqzC5beiDdChL27gUQT4nTNJlph5d6V2c9fwLC5eHrhHwuKIWt-_4GgEQ,87,15,15,False,False,False
PLATINUM,I,YogIcFq7tDVA7zdMcDwNVSUXMycG2P-1A7htEEHQ3Z-az3wUxALUPR_8OrH4Gc6_a6Wr_wEYHnNMgw,64,188,189,False,False,False
PLATINUM,I,oCZkIt6H5dgyanu5HLmslOllh4IYppMk336zEPpHVLBIfHE1CG-WXi1ORy3z7csUUQoIWxvOdLMhQw,49,200,194,False,False,False
PLATINUM,I,98BSG94ZJXyeEaxx3AX1EyFXAuPgT6OeR6FhBLC8w9t-4weQmOS70FCwW7HqG0M-qyWL0oWeG09EFg,22,23,11,False,False,False
PLATINUM,I,q1OseE2ayCMyXtNuOw46FPCJojd7WyyYoHqhtP04__cD9EAmKJWDW257WlfFAH6nAbSvYP3Su1sQ4w,74,23,12,False,False,False
PLATINUM,I,Wxr4Gkjxf36w5tCw2_tME4YFCv7ozIxslL50fSMIukDuIX9BK6RaJe2LF5FuUpIuo3DQAsfZCJ67nA,13,156,142,False,False,False
PLATINUM,I,vZkqNzBN78pAom2ioEMk9DyvfbpilamB4SXkllozjZGxEtXDif5imBj9ZvJZwnbC-f3C6G6f3AlZXA,75,186,179,False,False,False
PLATINUM,I,vmUAHTsKrFATbPnZQpK5w-pHzGUJEbNlkQzpIFlraLLGaiPysOk_qSlEjrZghVisatnEviNtQvXXXg,13,30,17,False,False,False
PLATINUM,I,aF0rEVHrPLlwGuGyusTk79MHr2cgBk3YreAcHrNyFGCbUslQg7KFlKx1x355AsaGV25qcuP3Vky7TQ,45,44,43,False,False,True
PLATINUM,I,slzd_JG3dZlZAZhv8nT1_Pho2TMmUm-UM6QHCbauqnAXhOE0a00NfzADcl7Dwf3OJMldYyYAv__WSA,56,9,8,False,False,False
PLATINUM,I,cy1ScxUwZU6VRuURTOwHCiMMj9KLtZBCn0IbriTD3dY8KJzuLzGjCGcP02La9N28AdGCiTa57EPWwA,25,181,183,False,False,False
PLATINUM,I,9Qpg9IDVQKdENtoRmN5qwS1T3L-gTOVqfkiUMPBJszSONcJYcYklw6e2qxHRiiXf0YOBo8lnFvHRkg,64,38,39,False,False,False
PLATINUM,I,Cw0HK0ftwyCaOyPpU7TXoGYjUtlXx7sJyKt-zsZwsyzSTOR1-pvMBZdFVTAeL2S82X1c-F9vGQD0YQ,9,89,67,False,False,False
PLATINUM,I,DvyN_FD1qvur0AulHiv7WwNZOQk_NwTm6bCmlxbGFHlY7PAsqJKB8Orhl8fT9X_ZCWO_JftMrdyCLQ,99,67,62,False,False,False
PLATINUM,I,T8CM2lWWMG029jmOOFNkCjyXQPvNepbuGQ0zisiVOOWDXTL84QeGyUQFYqGXo1ByWLGOYcDJWf4D8Q,10,10,7,False,False,False
PLATINUM,I,7BxurW0PfvlddmsKbB6oxMSgiTQW7tTVogK4JKdQiURCClE-QOQWxThZegLLTsRWlpxh5Bmkpsx8EQ,22,77,68,False,False,False
PLATINUM,I,0rWc2EVoVlU_6BJq9m4Xvw-7Ba5LImdA2wd9Xn1sOK_Ns8XrKb27-llSDShQ_U40fRnoWZC6yhM7zw,7,55,36,False,False,False
PLATINUM,I,kWY-5Nd_6RnTOfMC3cpMnyuoYqg_0qpvJ_i2VeUCwVU1fNGNPfVOkgep5VzPmPAnVmbrrR5RBwBX7Q,65,10,9,False,False,False
PLATINUM,I,t66ExiIFFBGHPyfv6_CVvmQGnYKMnMbma0EY54JMoBmOMZ77EVKPY6j7-shxjd0ewhJTQbLwrAMH5A,57,643,624,False,False,False
PLATINUM,I,kmi0CzekrHe7GYotYoDqwPbr_hwWc1UrMPZrf-__mbktvu4Q5f_IgRjdvJ2vp0H8qyZI4dH3_81zVw,73,3,3,False,False,False
