player,session_length,winrate
kZG18XtAr6ZqYkIdbVQ59W0uDZ7L63Raom8Z_HSnQpVSu-EMPK7qifVkcbtOKUIGxti45Tx2TMFiTQ,15,60.0
lkEJofcGeMe-0hIEpIZV-0xPujwy2epraX1egue-HxEP_b4xS3MZqrDKf5vwuu_xxRT8kkhFk01m2A,15,60.0
Ln0R2JFvI5GROUHCzbggxJ-eQMAMRhof_4oYlZA5ImZ2AP4i99nFub32Vrosr1-p7ey3YecLJf8RKg,15,66.67
lphjzO4tUO4BNHG2nYwlQ_WQ1_e3Grg5qyqER2DCmEaJYke1ElAx7AxzMaWC6vzoslP0oICDZNZ7CQ,15,40.0
lphjzO4tUO4BNHG2nYwlQ_WQ1_e3Grg5qyqER2DCmEaJYke1ElAx7AxzMaWC6vzoslP0oICDZNZ7CQ,15,53.33
lR-tT0xCUicUkQZZCyj801o401cdZDpUL0wp0qQSxL-cBTgx5735dvXoVlPVN3akpErtn7TvsBw4lg,15,53.33
m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,15,6.67
mjYmV6yKUrRKMTRfAGDyFyrA81JYgOYGQ_-HEG-yNIcz5rrtH-csdkVp0pPClf3HgMLhibrfqvCUxA,15,73.33
mSeC2gTqS4ADKg2AqW_65WOZ0xi5IYCw_Hy6yoHi2eC5DsG2LoLZlimuPJ5VS2iMrx9uscCqLVZfCg,15,46.67
mSeC2gTqS4ADKg2AqW_65WOZ0xi5IYCw_Hy6yoHi2eC5DsG2LoLZlimuPJ5VS2iMrx9uscCqLVZfCg,15,60.0
Mu590oS2RUtWZpTcqFiPO_cdv6eGGoIEcTnW5Ud-Wm5eJBC2U9GERgu1guuB-jtfPcA2IbyQ67tIHw,15,33.33
Mu590oS2RUtWZpTcqFiPO_cdv6eGGoIEcTnW5Ud-Wm5eJBC2U9GERgu1guuB-jtfPcA2IbyQ67tIHw,15,33.33
Mu590oS2RUtWZpTcqFiPO_cdv6eGGoIEcTnW5Ud-Wm5eJBC2U9GERgu1guuB-jtfPcA2IbyQ67tIHw,15,73.33
NI-iAI8H50Oe7FBDQwUwNP6VYtPQsZ0MKM5CYirFQdrtzcl3wqzRkCHc3IQxw0-3jYQf10OeOdm07Q,15,53.33
NI-iAI8H50Oe7FBDQwUwNP6VYtPQsZ0MKM5CYirFQdrtzcl3wqzRkCHc3IQxw0-3jYQf10OeOdm07Q,15,53.33
NJm6mgN3rNcWa0KCLlaLFh__EO5DliAnsuLZoz-_2W_lvezn5ZCt6OsBgBOD_RqDeJTfcrnY50k7og,15,33.33
nlUe3HJpgg00QfmrfT1LRMP-6fncUKCoWoXmbI-NV336iM_1Q4h2wz7hfgSN7v8q7mRqMiBu_KNMKA,15,53.33
ntgsuSmvGjsGuRaVAnSv2Nm7tNa3wBjbg38Gxf8QenCe8t8-WJaInM5fVqSseHdiHYU2gWQnhkOniA,15,60.0
NwWb8qKePtsPVgB2W203X_4vUgZYp5m-Q3l_GlkUPBOCyeKacy6SqFzws48YfCbKfFQN037bDyrw6g,15,46.67
nzbWXKAzOYwf7w91Qz-0n1WjkHxbl-k89qPVaztfj6iqIeNJ1oVxubiHNDsEkTozaEVlYYi_S6xD4w,15,40.0
O7NxT9cGtR3pLjZnUeOIcA5nnaK0oNM1ccTaM8qvnIxoCnDm8RHGd90raRhxbN28TccDVnUt7iHWIQ,15,53.33
optsOufPr80sSjbieQro37GIFAoSAD4SyoJlNLBVRyKygVO8RpdIs5678y4eS1v84h2RTDmZ-WHauQ,15,46.67
