puuid,rank
ioNvU8zTfEUPgu_s2j_Z9CA8KlBY6HGcy8gDqtSyhsLSQ0N3VqAHp2To8KFn7rNow4gsvWqIWAowvw,SILVER II
vC-yCpcJ-RAGUaoJoU8CMjxnYopXciYiHhgVuR5Y322yowEwIFHEstAALkzfWVcUMNCAgobDK1ICBQ,SILVER II
mG_dq-oj64X5lLDRaN9K8ZZA0bjpnSu1YLDfB-iwD7NKxd1VviKUta2uCRpc9W-4ZaV0OEvcRP14fg,SILVER I
zJ3FwkQB9VyxWoSdiWp7s-d8UVErPSU5DSqM95ktR48I8FUPjjBH5GJ5rKrPeuBArAl3VMo461VfWg,GOLD IV
guweMTaMC0wqY3XWVp8jOuysft3AOGf-2TBypn3YZDUSnbCs0y5VttNAvf8ybGgs2AWQvMYboxW4cg,GOLD IV
E7MtoKVAp8Eym-L2RD8YM50_x1Ow1iqt8Wx_hNi7YpXu3jF66Lj_gCnEidFAq6e7TS8o7VoLcEiJwA,SILVER II
5hOTf8jK9wpu7KbGM4Yn974R9VLFV837-aGqA4PZt-YKAvWwLYoGkJsNAj9PMKulIXjiL8-ndZC-AQ,SILVER II
JMQ96aRMjh3QfVoM2dPYF6dlvY4dtDH7wdbjHjn8DViT9Af-oFZSnY9fAtL9m-E7PbZcje3bJH0PfQ,SILVER II
2aX9KyCsut5IfgmZjMBsp6eufVbz60QrwGLC8uzBbeK2Oeu2zWJV95Qsn7Oo0b4cr_aabpbahXhEAA,SILVER II
VUnXbS2TpQT8vVBZIyL42qSqel4PTyLC4MJTB8AGPjLCLpdlpL636xRZsCTpJWcI2d7Dza36v9M5nw,GOLD IV
uZhd3WYGKr7TTCTzD6c58iYhoGfGsy8iWO8MIzNxQPMi7vFah8m4bO_BP4n1Y9yDaNgbCb59qwEwxg,SILVER III
hkbAR7fSdzZq80tU82ZKECXOFQLhSeJBfnn3HoYCnQegY1OvXlIxIZCOoPcPtURpVGBePfF88bDEmQ,SILVER III
i2OJD9qgE9_vHFDjrHxUTYdYvcelKrxr_R08AIqO59QS2bVlQVQTqrTK6feFouatcY9bV76ONR4SAA,SILVER I
CGUZ_ZOyKrFjv0gDbbWsO8lSn42hSwLeT_GraPsmpyRrVE1i1LB6r52ORpx_Ks9btIf0YWp-Hv0QvA,GOLD IV
u7PO83eXMCdbpTmQsCtpBep00WkvQzFqukV8GKeJ86OG5Ojx6v3JPQ80UKp74I3ZHrgxziERLOTY4A,SILVER II
bYBMCnq0S1TTfskH7yJ_araZfO4uhgHg54rnNe6Xx3CiOyV8l-uYw3jAmG4VXgS8JDA5IAZSMuqv4Q,GOLD IV
SBxazQ9Qp5sVFFlPMX1CnOacPJqClZenBwfmxrtMbIB8g3YxkG_lEMgsXh1ucDaLDt92Ozfwjhkz7w,GOLD III
GqGy8G5Q5cDXvM-tYiZ0Y95Cri1jldZ6iZuwavCIjAjb0Myhahvge2oEAdfM0K1kDlFFRUxvRubz3w,SILVER II
mxtH8Fcf8PSp4PkZL-ujHxCBhb_PkokHs_yOMHyLREyDgGGMBKQTsLY1yuMybq1dB4whDUzRKT0TJQ,SILVER IV
gxCe-inY62R43t_ysa6RAtoQCqQYwba_4IuqgB-7m5BRCLXZ_kHYT8gnZ7QPLB3cHSheLe5LGnUMjQ,GOLD III
5K_9tgEiXeuj_2WRBZSmZRCHBmbjuBMNJH9H1gnIFOWXEa-EtjBCqvAhwxPlpnsMRQODJc8tApQh_Q,SILVER I
bnY22tnz_1_AhkoaBIXMfH7WhpS45gM2IVTarcTbiFH3ew4eSwIIxg6cib8BW-mWK5F4pZbaHCs10Q,GOLD IV
Yk9dsbUkscEJkShK3VwAp2WdPmBaIHdIPewzaEcURC88AatNEzVy6zH3K7HB9nRZW_35NZMhK2mlag,GOLD IV
